x_m,intensity_norm,target
-0.0020225,5.1382716220121e-14,0
-0.00202,9.08589540982512e-14,0
-0.0020175,1.10851632987763e-13,0
-0.002015,7.46323014718613e-14,0
-0.0020125,4.19230200364269e-14,0
-0.00201,1.10764679870255e-13,0
-0.0020075,3.06164336277464e-13,0
-0.002005,5.29787646304269e-13,0
-0.0020025,6.28992213683868e-13,0
-0.002,5.26822892899494e-13,0
-0.0019975,2.92193750828409e-13,0
-0.001995,8.35447324042769e-14,0
-0.0019925,1.76447295570999e-14,0
-0.00199,8.3129737863618e-14,0
-0.0019875,1.71609945214911e-13,0
-0.001985,1.86348281077797e-13,0
-0.0019825,1.20944118091544e-13,0
-0.00198,4.08912360481639e-14,0
-0.0019775,2.71891075752419e-15,0
-0.001975,2.87927957574642e-15,0
-0.0019725,5.70882640571853e-15,0
-0.00197,6.99947349297136e-15,0
-0.0019675,4.93488392684991e-14,0
-0.001965,1.62961786392342e-13,0
-0.0019625,2.99107406963112e-13,0
-0.00196,3.47006793192394e-13,0
-0.0019575,2.42374386087016e-13,0
-0.001955,6.66505337176289e-14,0
-0.0019525,1.96192626853713e-14,0
-0.00195,2.58513296035233e-13,0
-0.0019475,7.35840043670014e-13,0
-0.001945,1.1944390084278e-12,0
-0.0019425,1.34920748966908e-12,0
-0.00194,1.1111466295927e-12,0
-0.0019375,6.57360373622054e-13,0
-0.001935,2.80912368417106e-13,0
-0.0019325,1.53562013902973e-13,0
-0.00193,2.15132634265531e-13,0
-0.0019275,2.83809991757471e-13,0
-0.001925,2.70828036941665e-13,0
-0.0019225,2.82308813308142e-13,0
-0.00192,5.01527600309781e-13,0
-0.0019175,9.64418752084671e-13,0
-0.001915,1.45694838864701e-12,0
-0.0019125,1.65629011624847e-12,0
-0.00191,1.40376977184687e-12,0
-0.0019075,8.60033835058183e-13,0
-0.001905,3.89870118306005e-13,0
-0.0019025,2.70501953884133e-13,0
-0.0019,4.81084082896229e-13,0
-0.0018975,7.55196831842714e-13,0
-0.001895,8.33459076674134e-13,0
-0.0018925,6.73845466697709e-13,0
-0.00189,4.3389231948997e-13,0
-0.0018875,2.72238800680228e-13,0
-0.001885,1.93577314709226e-13,0
-0.0018825,1.03637807598264e-13,0
-0.00188,6.65436369572937e-15,0
-0.0018775,1.07384871620686e-13,0
-0.001875,6.5871603628551e-13,0
-0.0018725,1.66175591615721e-12,0
-0.00187,2.7158335006784e-12,0
-0.0018675,3.22203214299273e-12,0
-0.001865,2.82605276389051e-12,0
-0.0018625,1.73523996447544e-12,0
-0.00186,6.12416990121144e-13,0
-0.0018575,1.00058292870319e-13,0
-0.001855,3.55007023716375e-13,0
-0.0018525,9.75446027696527e-13,0
-0.00185,1.36706882614036e-12,0
-0.0018475,1.22185089131333e-12,0
-0.001845,7.05350110860498e-13,0
-0.0018425,2.29312582225754e-13,0
-0.00184,5.88542034208169e-14,0
-0.0018375,1.2428647700474e-13,0
-0.001835,1.7915722656594e-13,0
-0.0018325,1.02658998247565e-13,0
-0.00183,2.14500231650937e-14,0
-0.0018275,1.34133607303796e-13,0
-0.001825,4.43175289924417e-13,0
-0.0018225,7.04316673191423e-13,0
-0.00182,6.79597234224698e-13,0
-0.0018175,4.47864841186873e-13,0
-0.001815,4.27875143852989e-13,0
-0.0018125,1.02585793307666e-12,0
-0.00181,2.1999230932086e-12,0
-0.0018075,3.36393385564058e-12,0
-0.001805,3.78006772225068e-12,0
-0.0018025,3.14336285108973e-12,0
