y_m,intensity_norm,target
-0.0019175,1.10644948235519e-13,0
-0.001915,1.44844784068264e-13,0
-0.0019125,6.12265703593532e-13,0
-0.00191,9.72608935041682e-13,0
-0.0019075,8.8416392351542e-13,0
-0.001905,4.84467607023076e-13,0
-0.0019025,1.98993558971501e-13,0
-0.0019,2.96270758903418e-13,0
-0.0018975,6.3143799606916e-13,0
-0.001895,8.15130479514549e-13,0
-0.0018925,6.22515983483689e-13,0
-0.00189,2.29114484610531e-13,0
-0.0018875,3.97364721257823e-14,0
-0.001885,2.81567480122298e-13,0
-0.0018825,7.65504014069952e-13,0
-0.00188,1.05605220293507e-12,0
-0.0018775,8.90666798199157e-13,0
-0.001875,4.42919026643011e-13,0
-0.0018725,1.69755717837096e-13,0
-0.00187,3.81541117706325e-13,0
-0.0018675,9.416652886649e-13,0
-0.001865,1.38295116143746e-12,0
-0.0018625,1.33495838642828e-12,0
-0.00186,8.63692117261189e-13,0
-0.0018575,4.08984763991592e-13,0
-0.001855,3.81834023298211e-13,0
-0.0018525,7.96317245572702e-13,0
-0.00185,1.26863403151756e-12,0
-0.0018475,1.36900319811447e-12,0
-0.001845,9.93183068019282e-13,0
-0.0018425,4.2295269144607e-13,0
-0.00184,4.94070854351443e-14,0
-0.0018375,3.88584338176524e-14,0
-0.001835,2.44190938812155e-13,0
-0.0018325,4.04963476009074e-13,0
-0.00183,4.0594513749994e-13,0
-0.0018275,3.3942142768944e-13,0
-0.001825,3.44328915966306e-13,0
-0.0018225,4.2856552773536e-13,0
-0.00182,4.80910171747177e-13,0
-0.0018175,4.55364389320953e-13,0
-0.001815,5.05491041342351e-13,0
-0.0018125,8.82367024258897e-13,0
-0.00181,1.65933031174948e-12,0
-0.0018075,2.55497818256882e-12,0
-0.001805,3.06778635580332e-12,0
-0.0018025,2.848851392684e-12,0
-0.0018,1.99692005240541e-12,0
-0.0017975,1.00566107863047e-12,0
-0.001795,3.97280121549753e-13,0
-0.0017925,3.56874744303647e-13,0
-0.00179,6.73485396358248e-13,0
-0.0017875,1.00582693336024e-12,0
-0.001785,1.19859340323536e-12,0
-0.0017825,1.35424872038139e-12,0
-0.00178,1.6249803919063e-12,0
-0.0017775,1.968518178295e-12,0
-0.001775,2.13596970683878e-12,0
-0.0017725,1.91193765051867e-12,0
-0.00177,1.35981966770713e-12,0
-0.0017675,8.09202293856017e-13,0
-0.001765,5.76641445903713e-13,0
-0.0017625,6.83030464402602e-13,0
-0.00176,8.45930168314918e-13,0
-0.0017575,7.61826220177995e-13,0
-0.001755,4.07456251722547e-13,0
-0.0017525,6.48534602817451e-14,0
-0.00175,4.15941105699634e-14,0
-0.0017475,3.58122497503235e-13,0
-0.001745,7.12263456527527e-13,0
