rank_envelope,name,z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,inside_fill_fraction,outside_fraction,outer_band_rmse,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score,size50_x_um,size50_y_um
141,Z40-9.000_Z20+4.875_rmswaves,-9.0,4.875,28.190358474659874,0.41611707807298537,0.8123245881635144,0.5371619272752555,0.5439382425105298,False,1.0439732254005778,0.9470964033131736,0.6006053821294248,9.815505960043602,148.9236514463857,21.151265088477892
142,Z40+3.000_Z20+0.750_rmswaves,3.0,0.75,28.19352429827262,0.4267391166993113,0.8280658938377059,0.529338327091136,0.6115316160105031,False,0.7840172544092457,0.8990978007045421,0.5477283356628155,5.9591836985027316,nan,nan
143,Z40+3.000_Z20+4.875_rmswaves,3.0,4.875,28.20627940012235,0.44407865468458046,0.6090298962782185,0.38130655758026527,0.5585745001153537,False,2.115109214631469,0.520808385476728,0.8015888096692682,36.54384645725277,47.80022348203917,197.27504905392118
144,Z40-12.000_Z20+2.250_rmswaves,-12.0,2.25,28.232008472535348,0.4171976614333574,0.7788895668090299,0.5240474237566177,0.5216972155829324,False,1.2547397109354945,0.8950283722577289,0.6169698594565387,14.090655617484687,48.651440666664456,37.59129498416034
145,Z40-9.000_Z20+0.000_rmswaves,-9.0,0.0,28.251151506712343,0.4084999029691442,0.774496644295302,0.5336859892733818,0.4768538722457942,False,1.3044209632805115,1.0447439132080112,0.6581390875233194,16.005017638576206,30.027112101981807,108.7093489108575
146,Z40-3.000_Z20-2.250_rmswaves,-3.0,-2.25,28.289256278604707,0.414571678910831,0.7544844417327639,0.5178947368421053,0.49331034750104585,False,1.401149076624036,1.2020608777019248,0.5351469911813758,18.340890814004027,32.37400957955374,242.57897904309758
147,Z40+9.000_Z20-4.500_rmswaves,9.0,-4.5,28.29039894965279,0.40577380569665017,0.7710799267846248,0.5387927888475293,0.4605999979539287,False,1.1498957435076913,0.8694695582403,0.6172439961282093,11.956068455152531,63.07989292877203,24.631065197087437
148,Z40+0.000_Z20+1.125_rmswaves,0.0,1.125,28.297308931654072,0.41862261572285936,0.863575350823673,0.5495512698109605,0.6225810404861358,False,0.5998142542451992,1.2314421454311881,0.45497928908148016,10.252166810898428,22.075589665491748,274.8890330724602
149,Z40+9.000_Z20-3.000_rmswaves,9.0,-3.0,28.307762600998938,0.4198026539639333,0.7527760829774253,0.514290213369026,0.5140682784242713,False,1.3741184900949885,1.0077514677001933,0.6498198246674889,17.22878802290206,35.025631498111416,105.78878166809432
150,Z40-9.000_Z20-1.875_rmswaves,-9.0,-1.875,28.32398366011351,0.4371894464273217,0.7627821842586944,0.49478703628869314,0.6124391004505882,False,0.9704337922932178,1.1723824522085986,0.6374568382200992,11.456779374606025,199.66483892749665,115.07746508211625
